question_id,chunk_id,question_text,chunk_text,person_1,person_2,person_3,final_label
q1,1501.04309v1_abstract_0000,"What problem, limitation, or research gap motivates a machine learning approach?","In this position paper , I first describe a new perspective on machine learning ( ML ) by four basic problems ( or levels ) , namely , `` What to learn ? `` , `` How to learn ? `` , `` What to evaluate ? `` , and `` What to adjust ? `` . The paper stresses more on the first level of `` What to learn ? `` , or `` Learning Target Selection '' . Towards this primary problem within the four levels , I briefly review the existing studies about the connection between information theoretical learning ( ITL [ 1 ] ) and machine learning . A theorem is given on the relation between the empirically-defined similarity measure and information measures . Finally , a conjecture is proposed for pursuing a unified mathematical interpretation to learning target selection .",0,1,0,0
q1,1501.04309v1_introduction_0002,"What problem, limitation, or research gap motivates a machine learning approach?","It is the author 's belief that `` mathematical-principle-based machine '' might be more important and critical than `` brain-inspired machine '' in the study of machine learning . The purpose of this position paper is to put forward a new perspective and a novel conjecture within the study of machine learning . In what follows I will present four basic problems ( or levels ) in machine learning . The study on information theoretical learning is briefly reviewed . A theorem between the empirically-defined similarity measures and information measures are given . Based on the existing investigations , a conjecture is proposed in this paper .",0,0,0,0
q1,1504.03874v1_abstract_0000,"What problem, limitation, or research gap motivates a machine learning approach?","Machine learning is a quickly evolving field which now looks really different from what it was 15 years ago , when classification and clustering were major issues . This document proposes several trends to explore the new questions of modern machine learning , with the strong afterthought that the belief function framework has a major role to play .",1,0,0,0
q1,1504.03874v1_introduction_0002,"What problem, limitation, or research gap motivates a machine learning approach?","However , this reason alone is not sufficient : There are indeed other topics , such as for instance , information fusion , where BF-based methods are now as well recognized as are methods based on more classical formalisms , such as probabilities , or ontologies . In this report , I assume an additional reason : that some researchers focused on BFT ( especially the youngest ) , who have progressively turned their interests towards ML problems , may not capture the newest trends of this field . In fact , I used to be an example of such researchers , and I acknowledge that my first perceptions of ML were clearly outdated . This is why , I propose a short review of the respective evolution of BFT and of ML , as well as an attempt to put them in perspective . Of course , many senior researchers may find this exercise futile , as they have their own broad view on the question . However , to my knowledge , no recent referenced article is available for any reader seeking for a starting point to question the links between ML and BFT . This document is structured as follow : In Section 2 , a brief recall of the evolution of the mainstream in the BF community is provided .",1,1,0,1
q1,1504.03874v1_introduction_0003,"What problem, limitation, or research gap motivates a machine learning approach?","However , to my knowledge , no recent referenced article is available for any reader seeking for a starting point to question the links between ML and BFT . This document is structured as follow : In Section 2 , a brief recall of the evolution of the mainstream in the BF community is provided . Then , in Section 3 , a short summary of the earlier ages of ML up to the mid-90s , is sketched , as well as a coarse description of the successful interactions between ML and BFT in those times . Afterward , I provide in Section 4 a synthetic overview of the revolution that blew over ML around the early 2000s , and which modified its goals and the organization of its supporting community . As BFT does not seem to fit in this new picture of the ML world , I list in Section 5 a few problems that may still be of interest for the current mainstream of BFT , as well as some potential interesting evolutions for the community to adapt to the newly raised questions .",1,0,0,0
q1,1505.06614v1_abstract_0000,"What problem, limitation, or research gap motivates a machine learning approach?","In this short paper , the Electre Tri-Machine Learning Method , generally used to solve ordinal classification problems , is proposed for solving the Record Linkage problem . Preliminary experimental results show that , using the Electre Tri method , high accuracy can be achieved and more than 99 % of the matches and nonmatches were correctly identified by the procedure .",1,1,0,1
q1,1505.06614v1_introduction_0001,"What problem, limitation, or research gap motivates a machine learning approach?","Introduction Machine Learning is a scientific discipline that is concerned with the design and development of algorithms that allow computers to `` learn data '' . More precisely , `` learn '' is here intended as the possibility to automatically recognize complex patterns and make `` intelligent '' decisions , based on information data . Hence , machine learning is closely related to fields such as statistics , probability theory , data mining , pattern recognition , artificial intelligence , adaptive control and theoretical computer science . Machine learning algorithms can be classified in the following types : • supervised learning algorithms : a function/classifier is generated , that maps outputs on the training inputs , based on labeled examples inputoutput ; • unsupervised learning algorithms : patterns in the input are recognized , the examples have no labels ; • semi-supervised learning algorithms : supervised and unsupervised learning information is combined ; • reinforcement learning : actions from observation of the world are generated . Every action has some impact in the environment and the environment provides feedbacks that are translated into a score that guide the learning process . The principal supervised learning techniques currently applied or under consideration at statistical agencies worldwide to solve the record linkage matching problem are : classification tree [ 4 , 7 ] , support vector machine [ 1 , 2 , 3 ] and neural network [ 15 ] .",0,1,0,0
q1,1505.06614v1_introduction_0002,"What problem, limitation, or research gap motivates a machine learning approach?","The principal supervised learning techniques currently applied or under consideration at statistical agencies worldwide to solve the record linkage matching problem are : classification tree [ 4 , 7 ] , support vector machine [ 1 , 2 , 3 ] and neural network [ 15 ] . In this short paper , another machine learning technique is proposed to solve the record linkage problem : the multi-criteria classification method Electre Tri . It is the first time that multi-criteria machine learning technique is used to solve the record linkage problem . This application answers to one of `` many challenges in applying supervised machine learning to record linkage matching '' [ 10 ] , showing that the use of multi-criteria classification method Electre Tri to solve the record linkage problem provides good results in term of classification model performances . The importance of this application is in light of the increasing development of the use of administrative sources data . In this context , an important problem is that of finding matching pairs of records from heterogeneous databases , while maintaining privacy of the databases parties . To this purpose secure computation of distance metrics is important for secure record linkage [ 5 ] . The paper is organized as follows .",1,1,1,1
q1,1505.06614v1_introduction_0003,"What problem, limitation, or research gap motivates a machine learning approach?","In this context , an important problem is that of finding matching pairs of records from heterogeneous databases , while maintaining privacy of the databases parties . To this purpose secure computation of distance metrics is important for secure record linkage [ 5 ] . The paper is organized as follows . Section 2 describes an introduction to the Record Linkage problem ; then the next Section 3 describes the method Electre Tri , used to solved the Record Linkage and in the last Section 4 a preliminary experiment is conducted on simulated data . The paper closes with some final remarks and conclusions . 2 Linked Data : the Record Linkage Generally speaking , in integration of two data sets the objective is the detection of those records , in the different data sets , that belong to the same statistical unit . This action allows the reconstruction of a unique record of data that contains all the unit information collected from different data sources on that unit . Therefore , record linkage is the methodology of bringing together corresponding records from two or more files or finding duplicates within files [ 16 ] .",1,1,0,1
q1,1505.06614v1_introduction_0004,"What problem, limitation, or research gap motivates a machine learning approach?","This action allows the reconstruction of a unique record of data that contains all the unit information collected from different data sources on that unit . Therefore , record linkage is the methodology of bringing together corresponding records from two or more files or finding duplicates within files [ 16 ] . In the first situation , the definition of record linkage in [ 9 ] is more precise `` Record linkage is a solution to the problem of recognizing those records in two files which represent identical persons , objects , or events ( said to be matched ) '' The term record linkage originated in the public health area when files of individual patients were brought together using name , date-of-birth and other information [ 16 ] . One of the main motivations for the utilize of the record linkage method is the construction of the big data bases for answer to the new informative needs [ 8 ] . In order to better understand the problem , small practical example is now presented . Suppose the user wants to link two datasets of persons A and B , whose the variables Name , Address and Age are known .",1,1,0,1
