file,sentences,tokens,unique_lemmas,tokens_per_sentence
0904.3664v1.grobid.conllu,1,1,1,1.0
1212.2686v1.grobid.conllu,23,770,615,33.47826086956522
1302.0406v1.grobid.conllu,19,1240,741,65.26315789473684
1303.2104v1.grobid.conllu,22,678,524,30.818181818181817
1404.6674v1.grobid.conllu,35,784,663,22.4
1405.1304v1.grobid.conllu,19,346,318,18.210526315789473
1501.04309v1.grobid.conllu,20,448,382,22.4
1504.03874v1.grobid.conllu,15,597,484,39.8
1505.06614v1.grobid.conllu,31,1337,933,43.12903225806452
1507.02188v1.grobid.conllu,23,642,551,27.91304347826087
1509.00913v3.grobid.conllu,21,566,466,26.952380952380953
1510.00633v1.grobid.conllu,13,485,380,37.30769230769231
1602.00198v1.grobid.conllu,42,961,800,22.88095238095238
1603.02185v1.grobid.conllu,19,952,716,50.10526315789474
1605.07805v2.grobid.conllu,35,1497,1079,42.77142857142857
1606.02767v2.grobid.conllu,32,941,774,29.40625
1606.05386v1.grobid.conllu,10,296,236,29.6
1607.00279v1.grobid.conllu,18,631,518,35.05555555555556
1607.01400v1.grobid.conllu,43,1248,1028,29.023255813953487
1610.08251v1.grobid.conllu,53,1861,1403,35.113207547169814
1611.03969v1.grobid.conllu,14,1154,608,82.42857142857143
1612.04251v1.grobid.conllu,15,493,423,32.86666666666667
1612.04858v1.grobid.conllu,6,240,196,40.0
1612.07640v1.grobid.conllu,50,1821,1466,36.42
1702.08608v2.grobid.conllu,21,726,570,34.57142857142857
1703.01977v1.grobid.conllu,15,307,275,20.466666666666665
1703.10121v1.grobid.conllu,21,506,441,24.095238095238095
1705.07538v2.grobid.conllu,37,1308,1089,35.351351351351354
1706.05749v1.grobid.conllu,25,740,631,29.6
1706.08001v1.grobid.conllu,32,1016,867,31.75
1706.08519v1.grobid.conllu,14,397,320,28.357142857142858
1707.03184v1.grobid.conllu,31,864,735,27.870967741935484
1707.04849v1.grobid.conllu,81,4466,2329,55.135802469135804
1707.09562v3.grobid.conllu,41,984,847,24.0
1708.07826v1.grobid.conllu,18,885,548,49.166666666666664
1711.01431v1.grobid.conllu,46,1586,1269,34.47826086956522
1711.06552v1.grobid.conllu,9,290,245,32.22222222222222
1801.04016v1.grobid.conllu,98,3114,2482,31.775510204081634
1802.00382v1.grobid.conllu,8,311,250,38.875
1802.03830v1.grobid.conllu,26,1381,925,53.11538461538461
1803.10311v2.grobid.conllu,37,1142,945,30.864864864864863
1804.11238v1.grobid.conllu,12,364,292,30.333333333333332
1805.04272v2.grobid.conllu,67,2876,1986,42.92537313432836
1805.07072v1.grobid.conllu,25,1159,805,46.36
1805.11959v2.grobid.conllu,24,486,413,20.25
1807.01477v2.grobid.conllu,67,1978,1560,29.52238805970149
1807.04162v3.grobid.conllu,10,572,336,57.2
1807.05351v1.grobid.conllu,17,784,602,46.11764705882353
1807.06689v1.grobid.conllu,20,556,497,27.8
1807.06722v2.grobid.conllu,44,1324,1096,30.09090909090909
1807.10681v1.grobid.conllu,14,282,247,20.142857142857142
1808.00033v3.grobid.conllu,33,862,756,26.12121212121212
1810.03548v1.grobid.conllu,21,735,588,35.0
1810.11383v2.grobid.conllu,32,808,712,25.25
1811.00542v1.grobid.conllu,16,447,363,27.9375
